Country Name;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Argentina;8225,137176;10385,96443;12848,8642;13082,66433;13080,25473;12334,79825;13789,06042;12790,24247;14591,86338;11652,56629
Bolivia;1754,211061;1955,461557;2346,33717;2609,880819;2908,200085;3081,878834;3035,972215;3076,658949;3351,124053;3548,59014
Brazil;8597,915352;11286,24302;13245,61553;12370,0242;12300,32258;12112,5903;8814,000987;8712,887044;9880,946543;8920,762105
Chile;10208,90676;12808,03459;14637,24024;15351,55133;15842,94009;14670,99718;13574,1715;13748,0884;15037,35011;15923,35906
Colombia;5195,393376;6326,549469;7324,383286;8042,529769;8212,667829;8114,084264;6175,87603;5871,223524;6375,932063;6651,291293
Ecuador;4231,615798;4633,590358;5200,55579;5682,045007;6056,330827;6377,09153;6124,491643;6060,093329;6213,501276;6344,871979
Paraguay;3624,571058;4355,934939;5322,96376;5183,082877;5926,832863;6102,943233;5406,703857;5319,410218;5680,580768;5871,467064
Peru;4196,312793;5082,354757;5869,32308;6528,972218;6756,752769;6679,341948;6227,586716;6205,3709;6700,81138;6947,256627
Uruguay;9451,932449;11992,01663;14236,68119;15171,58466;16973,67421;16831,97294;15613,76427;15387,14403;16437,24487;17277,97011
World;8820,884804;9538,846778;10473,62997;10589,20847;10764,19177;10928,87116;10217,65601;10247,93623;10769,67711;11298,30371
